# telescope   = tel04
# season      = 2011-2017
# filter      = RG715
# aperture    = 8.000     pix
# deblend     = 0
# null_dc[1]  = -0.001101 mag
# null_dc[2]  = 0.000375  mag
# null_cm     = 0.225549  mag/mag
# null_fwhm_k = -0.000587 mag/pix
# null_fwhm_0 = 3.641000  pix
# null_chidof = 3.107
# null_nfit   = 451
# null_nparm  = 4
#
#BJD           Mag         e_Mag       tExp    DMag    FWHM   Ellip Airmass X         Y         Angle   Sky      Peak  S  V  R F CM        Corr_Mag   
#------------- ----------- ----------- ------- ------- ------ ----- ------- --------- --------- ------- -------- ----- -- -- - - --------- -----------
2457885.661577    0.001699    0.003604   8.027  0.0068  4.057 0.268 1.38321  1333.889   301.841  179.90    41.72  5092  1  9 0 0  0.002834    0.002405
2457885.662013    0.004591    0.003983   8.027  0.0030  3.810 0.273 1.38222  1334.914   319.702  179.90    42.07  5991  1  9 0 0  0.002818    0.005155
2457885.662450    0.010457    0.003823   8.027  0.0001  3.193 0.095 1.38125  1334.362   289.259  179.90    42.20  7545  1  9 0 0  0.002802    0.010663
2457885.662890    0.007127    0.003931   8.027  0.0075  3.473 0.062 1.38028  1334.693   286.787  179.90    42.53  6779  1  9 0 0  0.002786    0.007500
2457885.663327   -0.000604    0.003808   8.027 -0.0034  3.274 0.097 1.37933  1334.973   283.463  179.89    42.76  8076  1  9 0 0  0.002770   -0.000343
2457885.684869    0.002068    0.003808   8.027  0.0190  3.456 0.074 1.34792  1333.520   290.620  179.90    46.45  6519  1  9 0 0  0.003063    0.002369
2457885.685301    0.001131    0.004368   8.027 -0.0031  3.763 0.058 1.34759  1333.880   290.216  179.90    46.45  6084  1  9 0 0  0.003069    0.001611
2457885.685730   -0.004471    0.004222   8.027  0.0008  3.840 0.063 1.34727  1334.615   290.459  179.89    46.12  5886  1  9 0 0  0.003061   -0.003944
2457885.686161    0.001676    0.004355   8.027 -0.0004  4.015 0.087 1.34697  1335.481   284.363  179.90    46.55  4951  1  9 0 0  0.003053    0.002307
2457885.686603   -0.006115    0.004227   8.027  0.0027  4.109 0.052 1.34666  1335.732   283.951  179.89    46.43  4858  1  9 0 0  0.003046   -0.005427
2457885.708861    0.005073    0.003698   8.027  0.0074  3.117 0.125 1.34648   715.259  1760.579    0.00    53.36  8939  2  9 0 0  0.002773    0.003765
2457885.709291    0.002220    0.003732   8.027 -0.0006  3.473 0.081 1.34677   715.706  1759.638   -0.00    53.55  6730  2  9 0 0  0.002781    0.001120
2457885.709730    0.004004    0.003840   8.027  0.0078  3.175 0.114 1.34708   715.323  1764.372   -0.00    53.73  8885  2  9 0 0  0.002789    0.002726
2457885.710183   -0.000829    0.004195   8.027  0.0038  3.480 0.111 1.34741   715.042  1765.240    0.00    53.85  7290  2  9 0 0  0.002796   -0.001929
2457885.710624    0.004431    0.004038   8.027  0.0065  3.265 0.103 1.34774   714.169  1763.891    0.01    53.76  9248  2  9 0 0  0.002804    0.003203
2457885.732832    0.005418    0.003729   8.027  0.0083  3.389 0.084 1.38025   714.425  1761.928   -0.00    55.80  7142  2  9 0 0  0.002882    0.004245
2457885.733265    0.007419    0.003606   8.027  0.0130  3.655 0.106 1.38121   715.695  1763.870   -0.01    55.23  6194  2  9 0 0  0.002871    0.006404
2457885.733698   -0.000394    0.003929   8.027  0.0133  3.426 0.084 1.38218   715.630  1761.801   -0.00    55.04  7787  2  9 0 0  0.002861   -0.001540
2457885.734124    0.002748    0.003986   8.027  0.0223  3.332 0.093 1.38314   715.322  1764.952    0.00    54.90  7792  2  9 0 0  0.002851    0.001549
2457885.734567    0.004400    0.003644   8.027  0.0076  3.453 0.124 1.38416   714.963  1765.368   -0.00    54.96  7270  2  9 0 0  0.002841    0.003274
2457885.753512   -0.001616    0.003949   8.027  0.0125  3.372 0.114 1.44112   713.663  1762.317    0.00    61.33  8277  2  9 0 0  0.003028   -0.002832
2457885.753951    0.007440    0.003767   8.027  0.0042  3.357 0.107 1.44278   714.970  1763.752    0.00    61.14  8025  2  9 0 0  0.003052    0.006210
2457885.754375    0.000000    0.004885   8.027  0.0038  3.257 0.148 1.44439   715.425  1761.514    0.00    61.19  7730  2  9 0 0  0.003074   -0.001294
2457885.754805    0.002311    0.004122   8.027  0.0104  3.388 0.120 1.44604   715.334  1765.503    0.00    61.32  7414  2  9 0 0  0.003097    0.001089
2457885.755237    0.002295    0.004417   8.027  0.0013  3.520 0.121 1.44772   715.335  1764.946    0.00    61.41  7585  2  9 0 0  0.003120    0.001145
2457885.776121    0.017343    0.004453   8.027  0.0125  3.261 0.117 1.54971   713.443  1762.317   -0.01    66.42  7445  2  9 0 0  0.002213    0.016246
2457885.776552    0.003865    0.004555   8.027  0.0146  3.395 0.131 1.55230   714.405  1763.322   -0.00    66.03  7269  2  9 0 0  0.002156    0.002860
2457885.776996    0.007008    0.005013   8.027  0.0186  3.445 0.144 1.55498   714.960  1762.107   -0.01    65.68  7259  2  9 0 0  0.002098    0.006045
2457885.777427    0.004222    0.004610   8.027  0.0093  3.432 0.104 1.55761   714.812  1766.950   -0.00    65.46  7575  2  9 0 0  0.002041    0.003264
2457885.777868    0.004951    0.004858   8.027  0.0206  3.298 0.082 1.56032   715.307  1764.764   -0.00    65.49  7721  2  9 0 0  0.001983    0.003928
2457885.801554    0.003416    0.004934   8.027  0.0296  3.767 0.073 1.74553   714.021  1766.384    0.00    72.49  6165  2  9 0 0 -0.000304    0.003184
2457885.801990    0.002354    0.004603   8.027  0.0076  3.649 0.109 1.74979   715.091  1767.614   -0.01    72.35  5472  2  9 0 0 -0.000339    0.002060
2457885.802422    0.024051    0.005143   8.027  0.0296  3.671 0.094 1.75405   714.295  1765.070   -0.01    72.50  6255  2  9 0 0 -0.000374    0.023778
2457885.802863    0.001317    0.004545   8.027  0.0114  3.624 0.100 1.75843   714.236  1759.352    0.00    72.73  6934  2  9 0 0 -0.000409    0.001024
2457885.803302   -0.000734    0.004571   8.027  0.0341  3.668 0.104 1.76282   714.482  1764.273   -0.01    72.92  6190  2  9 0 0 -0.000444   -0.000993
2457886.643701    0.042219    0.019885   8.027 -0.2450  4.314 0.425 1.42586  1334.088   280.578  179.90    33.32  3641  1  9 0 0  0.001376    0.043404
2457886.644144   -0.016056    0.007824   8.027 -0.2673  3.520 0.184 1.42436  1333.430   282.818  179.90    32.38  5570  1  9 0 0  0.001371   -0.015336
2457886.645015   -0.011423    0.003930   8.027 -0.2595  4.705 0.259 1.42146  1337.102   277.923  179.90    31.69  2072  1  9 0 0  0.001362   -0.010005
2457886.645448    0.023184    0.006289   8.027 -0.5629  3.525 0.241 1.42004  1334.258   287.025  179.90    31.35  1167  1  9 0 0  0.001369    0.023908
2457886.666060    0.011279    0.004378   8.027 -0.1618  3.547 0.233 1.36842  1333.855   284.265  179.90    32.32  6338  1  9 0 0  0.001959    0.011883
2457886.666497    0.006362    0.004041   8.027 -0.1485  3.753 0.264 1.36765  1333.697   284.943  179.90    31.80  5279  1  9 0 0  0.001919    0.007095
2457886.666927    0.003989    0.003807   8.027 -0.1077  3.387 0.242 1.36689  1334.462   288.962  179.90    31.41  6771  1  9 0 0  0.001879    0.004517
2457886.667367    0.002724    0.003945   8.027 -0.1361  3.529 0.248 1.36614  1334.641   284.673  179.89    31.41  6038  1  9 0 0  0.001839    0.003344
2457886.667807   -0.001860    0.006251   8.027 -0.1575  3.489 0.268 1.36540  1335.372   284.547  179.89    32.03  5944  1  9 0 0  0.001799   -0.001254
2457886.690841    0.004962    0.008392   8.027 -1.3415  3.313 0.179 1.34340  1334.062   286.494  179.89    97.38  2149  1  9 0 0  0.000868    0.005674
2457886.691274    0.011020    0.010765   8.027 -1.4176  3.649 0.160 1.34329  1334.177   286.137  179.89    99.03  1938  1  9 0 0  0.000919    0.011918
2457886.691704   -0.000319    0.010288   8.027 -1.4924  3.502 0.202 1.34320  1334.347   286.718  179.90    99.49  2047  1  9 0 0  0.000970    0.000481
2457886.692144   -0.006192    0.013021   8.027 -1.4470  3.517 0.220 1.34312  1334.538   285.018  179.90    97.47  1993  1  9 0 0  0.001022   -0.005395
2457886.693551    0.033883    0.013465   8.027 -2.1421  2.894 0.256 1.34293   347.415   959.783    0.03   102.91  1161  2  9 0 0  0.001188    0.032802
2457886.714803    0.005618    0.005566   8.027 -0.5108  3.361 0.131 1.35458   714.299  1762.563    0.00    80.83  4779  2  9 0 0  0.000934    0.004868
2457886.715243   -0.012935    0.004971   8.027 -0.5042  3.344 0.093 1.35511   714.910  1764.082    0.00    79.97  5759  2  9 0 0  0.000859   -0.013678
2457886.715678   -0.007353    0.005389   8.027 -0.5028  3.373 0.151 1.35565   716.044  1767.070    0.00    80.22  5303  2  9 0 0  0.000786   -0.008062
2457886.716113   -0.002946    0.007990   8.027 -0.5546  3.948 0.246 1.35620   715.927  1764.272    0.00    88.01  3654  2  9 0 0  0.000712   -0.003301
2457886.716552    0.003479    0.004923   8.027 -0.6190  3.268 0.137 1.35677   715.476  1761.419    0.00    95.53  4464  2  9 0 0  0.000638    0.002741
2457886.740421    0.002246    0.005517   8.027 -0.4455  4.549 0.324 1.40679   714.003  1758.598   -0.00    80.15  2823  2  9 0 0 -0.002817    0.003039
2457886.740867    0.022826    0.010232   8.027 -0.2521  4.686 0.253 1.40810   714.588  1756.937   -0.01    70.01  2061  2  9 0 0 -0.002875    0.023713
2457886.741317   -0.000104    0.005400   8.027 -0.2061  3.950 0.280 1.40945   715.676  1766.513   -0.00    59.54  3909  2  9 0 0 -0.002934    0.000364
2457886.741752   -0.007987    0.004713   8.027 -0.1528  3.720 0.392 1.41076   715.045  1770.196    0.00    55.17  4854  2  9 0 0 -0.002991   -0.007641
2457886.742184   -0.014962    0.004318   8.027 -0.1346  3.692 0.259 1.41208   714.152  1765.810    0.00    52.61  4876  2  9 0 0 -0.003048   -0.014620
2457886.759473    0.009981    0.004701   8.027 -0.0995  4.366 0.252 1.47730   714.043  1762.555   -0.00    56.56  4398  2  9 0 0 -0.002811    0.010666
2457886.759910    0.002346    0.005048   8.027 -0.0600  4.378 0.256 1.47929   715.503  1760.328   -0.00    53.82  4083  2  9 0 0 -0.002792    0.003033
2457886.760354    0.008001    0.004340   8.027 -0.0564  3.799 0.238 1.48132   715.898  1765.143   -0.00    52.21  5546  2  9 0 0 -0.002772    0.008345
2457886.760785   -0.004008    0.004144   8.027 -0.0359  4.200 0.313 1.48332   715.805  1768.769   -0.00    50.65  4923  2  9 0 0 -0.002753   -0.003434
2457886.761219    0.014658    0.005065   8.027 -0.0423  4.334 0.226 1.48535   714.224  1764.388   -0.00    50.89  4146  2  9 0 0 -0.002734    0.015307
2457886.780040    0.004954    0.004791   8.027 -0.2959  4.655 0.345 1.59253   713.326  1763.942    0.00    80.66  3491  2  9 0 0 -0.001111    0.005425
2457886.780482   -0.008713    0.006704   8.027 -0.3714  3.415 0.172 1.59554   715.351  1766.877   -0.01    87.53  5917  2  9 0 0 -0.001068   -0.008979
2457886.780922    0.009149    0.005866   8.027 -0.4098  3.592 0.205 1.59858   715.283  1764.797   -0.00    92.27  4213  2  9 0 0 -0.001025    0.008976
2457886.781360   -0.011359    0.006323   8.027 -0.4484  4.344 0.222 1.60161   714.976  1764.893   -0.01    95.27  3285  2  9 0 0 -0.000982   -0.011100
2457886.781791    0.011594    0.005322   8.027 -0.4639  3.746 0.283 1.60463   714.927  1764.760   -0.01    97.57  4634  2  9 0 0 -0.000940    0.011493
2457886.799889   -0.006257    0.008189   8.027 -0.6136  3.538 0.115 1.75663   713.132  1764.658   -0.01   114.91  4485  2  9 0 0 -0.000500   -0.006580
2457886.800336    0.002769    0.007075   8.027 -0.6158  3.111 0.111 1.76109   714.610  1764.153   -0.01   119.70  4894  2  9 0 0 -0.000496    0.002195
2457886.800779    0.003325    0.006959   8.027 -0.6558  3.221 0.097 1.76555   715.128  1770.421   -0.01   122.42  4686  2  9 0 0 -0.000493    0.002815
2457886.801219   -0.013656    0.009041   8.027 -0.7653  3.465 0.204 1.77002   715.003  1764.221   -0.01   131.26  4098  2  9 0 0 -0.000490   -0.014023
2457886.801649   -0.000648    0.007502   8.027 -0.8076  3.547 0.251 1.77443   715.715  1767.136   -0.00   135.11  3350  2  9 0 0 -0.000486   -0.000969
2457887.643194   -0.000258    0.004426   8.027  0.0011  4.835 0.257 1.41829  1336.070   283.941  179.90    32.39  3629  1  9 0 0  0.001181    0.001277
2457887.643641    0.000669    0.004565   8.027  0.0057  3.620 0.233 1.41686  1334.545   288.602  179.89    32.09  6558  1  9 0 0  0.001178    0.001492
2457887.644077   -0.002155    0.005508   8.027 -0.1417  3.213 0.295 1.41547  1333.714   311.847  179.90    31.94  4827  1  9 0 0  0.001176   -0.001571
2457887.670845   -0.014623    0.003545   8.027 -0.0229  4.249 0.274 1.35671  1332.992   284.069  179.90    23.72  4366  1  9 0 0 -0.001016   -0.012936
2457887.671285   -0.001407    0.003719   8.027  0.0039  4.433 0.328 1.35614  1333.392   286.598  179.90    24.26  4827  1  9 0 0 -0.000990    0.000382
2457887.671716    0.006465    0.003616   8.027 -0.0425  4.979 0.315 1.35560  1333.424   282.298  179.89    24.46  2542  1  9 0 0 -0.000964    0.008568
2457887.672147   -0.012474    0.004913   8.027 -0.0362  5.548 0.222 1.35507  1335.021   284.847  179.90    24.64  2364  1  9 0 0 -0.000938   -0.010043
2457887.672577   -0.001969    0.004268   8.027  0.0062  3.766 0.323 1.35455  1334.624   288.449  179.90    24.84  6485  1  9 0 0 -0.000912   -0.000590
