# telescope   = tel16
# season      = 2014-2017
# filter      = RG715
# aperture    = 6.000     pix
# deblend     = 0
# null_dc[1]  = 0.000813  mag
# null_dc[2]  = 0.000312  mag
# null_dc[3]  = 0.000501  mag
# null_dc[4]  = 0.000022  mag
# null_cm     = 0.365045  mag/mag
# null_fwhm_k = -0.000102 mag/pix
# null_fwhm_0 = 2.743500  pix
# null_chidof = 2.452
# null_nfit   = 2303
# null_nparm  = 6
#
#BJD           Mag         e_Mag       tExp    DMag    FWHM   Ellip Airmass X         Y         Angle   Sky      Peak  S  V  R F CM        Corr_Mag   
#------------- ----------- ----------- ------- ------- ------ ----- ------- --------- --------- ------- -------- ----- -- -- - - --------- -----------
2457834.611885    0.001671    0.002872  15.034 -0.0145  3.417 0.316 1.37777  1297.764   355.128 -179.89    33.37  8005  1  3 0 0  0.001367    0.000427
2457834.612350    0.009257    0.002860  15.034 -0.0137  2.378 0.076 1.37464  1299.082   357.044 -179.89    33.14 14948  1  3 0 0  0.001362    0.007910
2457834.612794    0.003328    0.002824  15.034 -0.0028  3.082 0.224 1.37169  1299.219   366.181 -179.88    33.07  9387  1  3 0 0  0.001357    0.002054
2457834.613235    0.001944    0.002863  15.034 -0.0056  2.382 0.077 1.36877  1299.176   367.518 -179.88    33.06 12518  1  3 0 0  0.001352    0.000600
2457834.631054    0.002313    0.002705  15.034 -0.0115  3.074 0.247 1.26727  1298.836   352.710 -179.89    31.44  8860  1  3 0 0  0.001170    0.001106
2457834.631497    0.007069    0.002675  15.034 -0.0164  2.483 0.142 1.26511  1299.852   357.474 -179.89    31.26 11803  1  3 0 0  0.001167    0.005803
2457834.631941    0.006190    0.002697  15.034 -0.0165  2.715 0.185 1.26297  1299.623   366.478 -179.88    31.14  9712  1  3 0 0  0.001164    0.004949
2457834.632384    0.000911    0.002594  15.034 -0.0218  2.377 0.085 1.26084  1299.507   366.864 -179.88    31.06 11794  1  3 0 0  0.001161   -0.000364
2457834.651876   -0.003221    0.002546  15.034 -0.0275  3.176 0.260 1.18158  1298.303   353.464 -179.88    27.85  8079  1  3 0 0  0.001668   -0.004599
2457834.652323    0.001445    0.002504  15.034 -0.0170  2.660 0.207 1.18006  1299.535   359.013 -179.88    27.58  9835  1  3 0 0  0.001717   -0.000004
2457834.652767    0.003249    0.002446  15.034 -0.0235  2.439 0.126 1.17857  1299.852   367.417 -179.88    27.55 11705  1  3 0 0  0.001766    0.001760
